

--cv /media/genyoda/Extra_Storage/Projets/Buccin_ddRAD_2024/./00_Data/06a_Filtering.denovo.buccinum.M1n1/A_90K/08_Final/populations.23405snps.431ind.single.final.bed 18 -j8


****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 8 threads.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 431x23405
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 3.66	Loglikelihood: -8.30128e+06	(delta): 5.38063e+06
2 (EM) 	Elapsed: 3.642	Loglikelihood: -7.95476e+06	(delta): 346520
3 (EM) 	Elapsed: 3.664	Loglikelihood: -7.9076e+06	(delta): 47162.5
4 (EM) 	Elapsed: 3.645	Loglikelihood: -7.88417e+06	(delta): 23428.8
5 (EM) 	Elapsed: 3.636	Loglikelihood: -7.86512e+06	(delta): 19047.6
Initial loglikelihood: -7.86512e+06
Starting main algorithm
1 (QN/Block) 	Elapsed: 5.317	Loglikelihood: -7.47647e+06	(delta): 388653
2 (QN/Block) 	Elapsed: 5.365	Loglikelihood: -7.38048e+06	(delta): 95985
3 (QN/Block) 	Elapsed: 5.479	Loglikelihood: -7.34254e+06	(delta): 37939.7
4 (QN/Block) 	Elapsed: 5.509	Loglikelihood: -7.32105e+06	(delta): 21491.6
5 (QN/Block) 	Elapsed: 5.533	Loglikelihood: -7.31027e+06	(delta): 10785.7
6 (QN/Block) 	Elapsed: 5.489	Loglikelihood: -7.30128e+06	(delta): 8989.02
7 (QN/Block) 	Elapsed: 5.505	Loglikelihood: -7.29468e+06	(delta): 6592.7
8 (QN/Block) 	Elapsed: 5.466	Loglikelihood: -7.28976e+06	(delta): 4924.14
9 (QN/Block) 	Elapsed: 5.456	Loglikelihood: -7.28631e+06	(delta): 3454.79
10 (QN/Block) 	Elapsed: 5.494	Loglikelihood: -7.28347e+06	(delta): 2839.23
11 (QN/Block) 	Elapsed: 5.459	Loglikelihood: -7.28123e+06	(delta): 2238.98
12 (QN/Block) 	Elapsed: 5.503	Loglikelihood: -7.279e+06	(delta): 2231.24
13 (QN/Block) 	Elapsed: 5.508	Loglikelihood: -7.27779e+06	(delta): 1210.85
14 (QN/Block) 	Elapsed: 5.467	Loglikelihood: -7.27683e+06	(delta): 959.603
15 (QN/Block) 	Elapsed: 5.451	Loglikelihood: -7.27619e+06	(delta): 638.665
16 (QN/Block) 	Elapsed: 5.5	Loglikelihood: -7.27519e+06	(delta): 996.114
17 (QN/Block) 	Elapsed: 5.497	Loglikelihood: -7.27466e+06	(delta): 535.655
18 (QN/Block) 	Elapsed: 5.46	Loglikelihood: -7.27405e+06	(delta): 606.315
19 (QN/Block) 	Elapsed: 5.487	Loglikelihood: -7.27372e+06	(delta): 328.932
20 (QN/Block) 	Elapsed: 5.47	Loglikelihood: -7.27353e+06	(delta): 192.239
21 (QN/Block) 	Elapsed: 5.463	Loglikelihood: -7.27335e+06	(delta): 177.348
22 (QN/Block) 	Elapsed: 5.446	Loglikelihood: -7.27319e+06	(delta): 161.941
23 (QN/Block) 	Elapsed: 5.462	Loglikelihood: -7.27307e+06	(delta): 121.152
24 (QN/Block) 	Elapsed: 5.518	Loglikelihood: -7.27294e+06	(delta): 122.663
25 (QN/Block) 	Elapsed: 5.483	Loglikelihood: -7.27282e+06	(delta): 120.233
26 (QN/Block) 	Elapsed: 5.475	Loglikelihood: -7.27262e+06	(delta): 201.326
27 (QN/Block) 	Elapsed: 5.466	Loglikelihood: -7.27248e+06	(delta): 138.334
28 (QN/Block) 	Elapsed: 5.46	Loglikelihood: -7.27238e+06	(delta): 104.678
29 (QN/Block) 	Elapsed: 5.465	Loglikelihood: -7.27226e+06	(delta): 121.36
30 (QN/Block) 	Elapsed: 5.45	Loglikelihood: -7.27218e+06	(delta): 82.3119
31 (QN/Block) 	Elapsed: 5.469	Loglikelihood: -7.27211e+06	(delta): 71.5308
32 (QN/Block) 	Elapsed: 5.448	Loglikelihood: -7.27204e+06	(delta): 69.4929
33 (QN/Block) 	Elapsed: 5.48	Loglikelihood: -7.27197e+06	(delta): 70.1841
34 (QN/Block) 	Elapsed: 5.46	Loglikelihood: -7.27193e+06	(delta): 38.129
35 (QN/Block) 	Elapsed: 5.464	Loglikelihood: -7.2719e+06	(delta): 28.6898
36 (QN/Block) 	Elapsed: 5.508	Loglikelihood: -7.27185e+06	(delta): 51.4545
37 (QN/Block) 	Elapsed: 5.504	Loglikelihood: -7.27179e+06	(delta): 57.5082
38 (QN/Block) 	Elapsed: 5.466	Loglikelihood: -7.27174e+06	(delta): 48.0818
39 (QN/Block) 	Elapsed: 5.516	Loglikelihood: -7.27171e+06	(delta): 27.1341
40 (QN/Block) 	Elapsed: 5.458	Loglikelihood: -7.27171e+06	(delta): 6.53443
41 (QN/Block) 	Elapsed: 5.485	Loglikelihood: -7.2717e+06	(delta): 7.22778
42 (QN/Block) 	Elapsed: 5.448	Loglikelihood: -7.2717e+06	(delta): 2.81956
43 (QN/Block) 	Elapsed: 5.46	Loglikelihood: -7.2717e+06	(delta): 2.5257
44 (QN/Block) 	Elapsed: 5.539	Loglikelihood: -7.27169e+06	(delta): 2.07372
45 (QN/Block) 	Elapsed: 5.495	Loglikelihood: -7.27169e+06	(delta): 2.91654
46 (QN/Block) 	Elapsed: 5.535	Loglikelihood: -7.27169e+06	(delta): 2.35079
47 (QN/Block) 	Elapsed: 5.48	Loglikelihood: -7.27169e+06	(delta): 1.27928
48 (QN/Block) 	Elapsed: 5.468	Loglikelihood: -7.27168e+06	(delta): 1.97815
49 (QN/Block) 	Elapsed: 5.475	Loglikelihood: -7.27168e+06	(delta): 1.52555
50 (QN/Block) 	Elapsed: 5.421	Loglikelihood: -7.27168e+06	(delta): 0.900676
51 (QN/Block) 	Elapsed: 5.409	Loglikelihood: -7.27168e+06	(delta): 0.930187
52 (QN/Block) 	Elapsed: 5.466	Loglikelihood: -7.27168e+06	(delta): 0.631777
53 (QN/Block) 	Elapsed: 5.766	Loglikelihood: -7.27168e+06	(delta): 0.753078
54 (QN/Block) 	Elapsed: 7.97	Loglikelihood: -7.27168e+06	(delta): 0.52001
55 (QN/Block) 	Elapsed: 8.016	Loglikelihood: -7.27168e+06	(delta): 1.09054
56 (QN/Block) 	Elapsed: 8.036	Loglikelihood: -7.27168e+06	(delta): 0.487128
57 (QN/Block) 	Elapsed: 7.971	Loglikelihood: -7.27168e+06	(delta): 1.64132
58 (QN/Block) 	Elapsed: 8.001	Loglikelihood: -7.27168e+06	(delta): 1.01979
59 (QN/Block) 	Elapsed: 8.01	Loglikelihood: -7.27167e+06	(delta): 1.31499
60 (QN/Block) 	Elapsed: 7.984	Loglikelihood: -7.27167e+06	(delta): 2.47512
61 (QN/Block) 	Elapsed: 7.992	Loglikelihood: -7.27167e+06	(delta): 4.99247
62 (QN/Block) 	Elapsed: 8.003	Loglikelihood: -7.27165e+06	(delta): 18.1148
63 (QN/Block) 	Elapsed: 8.035	Loglikelihood: -7.27164e+06	(delta): 8.97337
64 (QN/Block) 	Elapsed: 8.029	Loglikelihood: -7.27164e+06	(delta): 0.77564
65 (QN/Block) 	Elapsed: 8.01	Loglikelihood: -7.27164e+06	(delta): 1.0017
66 (QN/Block) 	Elapsed: 8.057	Loglikelihood: -7.27164e+06	(delta): 0.41834
67 (QN/Block) 	Elapsed: 8.003	Loglikelihood: -7.27164e+06	(delta): 0.392045
68 (QN/Block) 	Elapsed: 7.992	Loglikelihood: -7.27164e+06	(delta): 0.523849
69 (QN/Block) 	Elapsed: 7.973	Loglikelihood: -7.27164e+06	(delta): 0.362116
70 (QN/Block) 	Elapsed: 8.007	Loglikelihood: -7.27164e+06	(delta): 0.23698
71 (QN/Block) 	Elapsed: 7.995	Loglikelihood: -7.27164e+06	(delta): 0.25902
72 (QN/Block) 	Elapsed: 8.02	Loglikelihood: -7.27164e+06	(delta): 0.211895
73 (QN/Block) 	Elapsed: 8.024	Loglikelihood: -7.27163e+06	(delta): 1.63957
74 (QN/Block) 	Elapsed: 8.054	Loglikelihood: -7.27163e+06	(delta): 2.08047
75 (QN/Block) 	Elapsed: 7.997	Loglikelihood: -7.27163e+06	(delta): 2.87787
76 (QN/Block) 	Elapsed: 8.064	Loglikelihood: -7.27162e+06	(delta): 3.77845
77 (QN/Block) 	Elapsed: 8.044	Loglikelihood: -7.27162e+06	(delta): 6.09262
78 (QN/Block) 	Elapsed: 8.039	Loglikelihood: -7.27161e+06	(delta): 5.0597
79 (QN/Block) 	Elapsed: 8.069	Loglikelihood: -7.27161e+06	(delta): 5.75468
80 (QN/Block) 	Elapsed: 8.017	Loglikelihood: -7.27161e+06	(delta): 1.1854
81 (QN/Block) 	Elapsed: 7.936	Loglikelihood: -7.27161e+06	(delta): 0.104295
82 (QN/Block) 	Elapsed: 7.958	Loglikelihood: -7.27161e+06	(delta): 0.216854
83 (QN/Block) 	Elapsed: 8.039	Loglikelihood: -7.27161e+06	(delta): 0.045444
